artist_name;track_name;track_id;popularity
StringStorm;Ten Thousand Years;2mLxRnBIF8czuThqRxIjE5;35,48
Lauv;I Like Me Better;2P91MQbaiQOfbiz9VqhqKQ;84,49
Fleetwood Mac;Paper Doll - 2018 Remaster;1Zx0gtbyIG6LYqjbS3pOp0;32,5
MGMT;Little Dark Age;2Y0iGXY6m6immVb2ktbseM;82,51
Mark Ronson;Uptown Funk (feat. Bruno Mars);1oP75mIKhxUPbdYadfKAts;38,52
XXXTENTACION;the remedy for a broken heart (why am I so in love);4UKCKdYiLN6IMA5ZESUTL7;82,53
Fleetwood Mac;Rattlesnake Shake - 2018 Remaster;0zXBl25ksnfGNkS6tgsMb2;33,54
Panic! At The Disco;High Hopes;1rqqCSm0Qe4I9rUvWncaom;83,55
Pet Shop Boys;This Must Be the Place I Waited Years to Leave - 2018 Remaster;6kLH7KcnK1n1ISBpoWSHEG;37,56
Juice WRLD;Legends;1Knctxx9vGZxpZfF66BIEa;79,57
Justin Hurwitz;"Overture - From ""Whiplash""";7KTv6RKu7Rd9bjQqU4Ci0T;40,58
Luke Combs;She Got the Best of Me;698eQRku24PIYPQPHItKlA;76,59
Fleetwood Mac;Peacekeeper - Live 1997;641hvI4UM2geY5IbOV8SZ9;32,6
Ski Mask The Slump God;Faucet Failure;1ThmUihH9dF8EV08ku5AXN;78,61
Dj Kiran Kamath;New Year Mix 2018 - DJ Kiran Kamath;6yESq1llaLQJSbGVex6La8;39,62
Ski Mask The Slump God;Nuketown (feat. Juice WRLD);74lnM5V6ecvoTPV0fvptx9;77,63
Fleetwood Mac;Save Me - 2018 Remaster;4H3azH9hDiqeykrCOAfB4m;32,64
David Bowie;Five Years - 2012 Remaster;1JIzFhI9Lt5FyslawmHCBi;59,65
Luke Combs;Beer Never Broke My Heart;7aEtlGHoiPAfRB084NiDmx;78,66
Pink Floyd;One Slip - Remix 2019;4topvmlYQ0WQe9sSmJH0YF;31,67
Billie Eilish;bad guy;2Fxmhks0bxGSBdJ92vM42m;87,68
Pink Floyd;Signs of Life - Remix 2019;3gtNd9RV49v6AFla6L9oDE;31,69
Baby Keem;ORANGE SODA;5FkoSXiJPKTNyYgALRJFhD;79,7
Pink Floyd;One Slip - Remix 2019;0Ch9reL20qs7i2bzHLWTo5;31,71
Surfaces;Sunday Best;1Cv1YLb4q0RzL6pybtaMLo;81,72
Pink Floyd;The Dogs of War - Remix 2019;2Ev5oXviJgU07hqSDYuJKZ;31,73
DaBaby;BOP;6Ozh9Ok6h4Oi1wUSLtBseN;81,74
Pink Floyd;Sorrow - Remix 2019;0dTx0BkWs1Ew6tVO7Ikr1G;31,75
Clairo;Bubble Gum;3zksbXteOCeSusJ5Xltr3t;81,76
TLC;No Scrubs;3okWQ7ykLevuruyk60bFgy;40,77
Maren Morris;The Bones;7yFhA2fUsL2oIMWlw5DaHQ;79,78
Laszlo;Feels Like Love - 2019;0ia1yM0yP6wQk3MjBLlxh0;31,79
Lewis Capaldi;Before You Go;2gMXnyrvIjhVBUZwvLZDMP;86,8
Pink Floyd;Round and Around - Remix 2019;1mi5VkGg9mwQ2v097ZSA8Q;29,81
Arizona Zervas;ROXANNE;696DnlkuDOXcMAnKlTgXXK;83,82
Pink Floyd;"Another Brick In the Wall; Part 2 - 2019 remix [Live]";1xUTI8Ce8IQnyYCGPmrbzS;36,83
Old Dominion;One Man Band;7cA3PnUQDlUyBBwpRozQeo;77,84
Pink Floyd;Sorrow - Remix 2019;1U9XWccgcdPw0ahaq2FDDS;30,85
Dayglow;Can I Call You Tonight?;64lsIF5pw0sJY0gV5kz0RN;81,86
Pink Floyd;Wish You Were Here - Live at Knebworth 1990;57Nc8KTrSOGqgjxfGzqRP1;37,87
Chris Brown;No Guidance (feat. Drake);6XHVuErjQ4XNm6nDPVCxVX;82,88
Pink Floyd;Time - 2019 remix [Live];4pXxIVE4YTBE8b5HQdjqOC;31,89
Lizzo;Truth Hurts;3HWzoMvoF3TQfYg4UPszDq;78,9
Pink Floyd;Yet Another Movie - Remix 2019;0oQlbs16wtdkKYoSfVAQUt;30,91
Post Malone;Wow.;7xQAfvXzm3AkraOtGPWIZg;82,92
Pink Floyd;Comfortably Numb - 2019 remix [Live];5L7ge1RYPPhLyzXKTSdXjb;31,93
Machine Gun Kelly;I Think I'm OKAY (with YUNGBLUD & Travis Barker);2gTdDMpNxIRFSiu7HutMCg;80,94
Pink Floyd;Learning to Fly - 2019 remix [Live];1sBMXOXdWkhsho4mPlMOl7;31,95
Lil Tjay;F.N;0RLLvYBopDwooCyvnTwgYu;81,96
Pink Floyd;On the Turning Away - 2019 remix [Live];7gkYyPzHSzINK0PdNS5ehL;31,97
Luke Combs;Better Together;6gdLyYNuhWBzqwlOFSsXC7;77,98
Calvin Harris;One Kiss;6Mcd2tlwSiqsnMC85DF4Ns;43,99
Doja Cat;Say So;3Dv1eDb0MEgF93GpLXlucZ;85
